company,cik,year,date,metric,value
Apple,0000320193,2016,2016-12-31,Revenues,78351000000
Apple,0000320193,2017,2017-12-30,Revenues,88293000000
Apple,0000320193,2018,2018-09-29,Revenues,62900000000
Apple,0000320193,2021,2021-09-25,GrossProfit,152836000000
Apple,0000320193,2022,2022-09-24,GrossProfit,170782000000
Apple,0000320193,2023,2023-09-30,GrossProfit,169148000000
Apple,0000320193,2024,2024-09-28,GrossProfit,180683000000
Apple,0000320193,2025,2025-09-27,GrossProfit,195201000000
Apple,0000320193,2021,2021-09-25,OperatingIncomeLoss,108949000000
Apple,0000320193,2022,2022-09-24,OperatingIncomeLoss,119437000000
Apple,0000320193,2023,2023-09-30,OperatingIncomeLoss,114301000000
Apple,0000320193,2024,2024-09-28,OperatingIncomeLoss,123216000000
Apple,0000320193,2025,2025-09-27,OperatingIncomeLoss,133050000000
Apple,0000320193,2021,2021-09-25,NetIncomeLoss,94680000000
Apple,0000320193,2022,2022-09-24,NetIncomeLoss,99803000000
Apple,0000320193,2023,2023-09-30,NetIncomeLoss,96995000000
Apple,0000320193,2024,2024-09-28,NetIncomeLoss,93736000000
Apple,0000320193,2025,2025-09-27,NetIncomeLoss,112010000000
Apple,0000320193,2021,2021-09-25,Assets,351002000000
Apple,0000320193,2022,2022-09-24,Assets,352755000000
Apple,0000320193,2023,2023-09-30,Assets,352583000000
Apple,0000320193,2024,2024-09-28,Assets,364980000000
Apple,0000320193,2025,2025-09-27,Assets,359241000000
Apple,0000320193,2021,2021-09-25,LiabilitiesAndStockholdersEquity,351002000000
Apple,0000320193,2022,2022-09-24,LiabilitiesAndStockholdersEquity,352755000000
Apple,0000320193,2023,2023-09-30,LiabilitiesAndStockholdersEquity,352583000000
Apple,0000320193,2024,2024-09-28,LiabilitiesAndStockholdersEquity,364980000000
Apple,0000320193,2025,2025-09-27,LiabilitiesAndStockholdersEquity,359241000000
Microsoft,0000789019,2007,2007-12-31,Revenues,16367000000
Microsoft,0000789019,2008,2008-12-31,Revenues,16629000000
Microsoft,0000789019,2009,2009-12-31,Revenues,19022000000
Microsoft,0000789019,2010,2010-06-30,Revenues,16039000000
Microsoft,0000789019,2021,2021-06-30,GrossProfit,115856000000
Microsoft,0000789019,2022,2022-06-30,GrossProfit,135620000000
Microsoft,0000789019,2023,2023-06-30,GrossProfit,146052000000
Microsoft,0000789019,2024,2024-06-30,GrossProfit,171008000000
Microsoft,0000789019,2025,2025-06-30,GrossProfit,193893000000
Microsoft,0000789019,2021,2021-06-30,OperatingIncomeLoss,69916000000
Microsoft,0000789019,2022,2022-06-30,OperatingIncomeLoss,83383000000
Microsoft,0000789019,2023,2023-06-30,OperatingIncomeLoss,88523000000
Microsoft,0000789019,2024,2024-06-30,OperatingIncomeLoss,109433000000
