company,year,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities_equity,gross_margin_pct,operating_margin_pct,net_margin_pct,revenue_growth_pct,return_on_assets_pct
Amazon,2021,469.82,,24.88,33.36,420.55,420.55,,5.3,7.1,,7.93
Amazon,2022,513.98,,12.25,-2.72,462.68,462.68,,2.38,-0.53,9.4,-0.59
Amazon,2023,574.78,,36.85,30.42,527.85,527.85,,6.41,5.29,11.83,5.76
Amazon,2024,637.96,,68.59,59.25,624.89,624.89,,10.75,9.29,10.99,9.48
Amazon,2025,716.92,,79.97,77.67,818.04,818.04,,11.16,10.83,12.38,9.49
Apple,2021,365.82,152.84,108.95,94.68,351.0,351.0,41.78,29.78,25.88,,26.97
Apple,2022,394.33,170.78,119.44,99.8,352.76,352.76,43.31,30.29,25.31,7.79,28.29
Apple,2023,383.28,169.15,114.3,97.0,352.58,352.58,44.13,29.82,25.31,-2.8,27.51
Apple,2024,391.04,180.68,123.22,93.74,364.98,364.98,46.21,31.51,23.97,2.02,25.68
Apple,2025,416.16,195.2,133.05,112.01,359.24,359.24,46.91,31.97,26.92,6.43,31.18
Google,2021,257.64,,78.71,76.03,359.27,359.27,,30.55,29.51,41.15,21.16
Google,2022,282.84,,74.84,59.97,365.26,365.26,,26.46,21.2,9.78,16.42
Google,2023,307.39,,84.29,73.8,402.39,402.39,,27.42,24.01,8.68,18.34
Google,2024,350.02,,112.39,100.12,450.26,450.26,,32.11,28.6,13.87,22.24
Google,2025,,,129.04,132.17,595.28,595.28,,,,,22.2
Meta,2021,117.93,,46.75,39.37,165.99,165.99,,39.65,33.38,,23.72
Meta,2022,116.61,,28.94,23.2,185.73,185.73,,24.82,19.9,-1.12,12.49
Meta,2023,134.9,,46.75,39.1,229.62,229.62,,34.66,28.98,15.69,17.03
Meta,2024,164.5,,69.38,62.36,276.05,276.05,,42.18,37.91,21.94,22.59
Meta,2025,200.97,,83.28,60.46,366.02,366.02,,41.44,30.08,22.17,16.52
Microsoft,2021,168.09,115.86,69.92,61.27,333.78,333.78,68.93,41.59,36.45,,18.36
Microsoft,2022,198.27,135.62,83.38,72.74,364.84,364.84,68.4,42.06,36.69,17.96,19.94
Microsoft,2023,211.92,146.05,88.52,72.36,411.98,411.98,68.92,41.77,34.15,6.88,17.56
Microsoft,2024,245.12,171.01,109.43,88.14,512.16,512.16,69.76,44.64,35.96,15.67,17.21
Microsoft,2025,281.72,193.89,128.53,101.83,619.0,619.0,68.82,45.62,36.15,14.93,16.45
